STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;AM;AMG;PRIO;SPEZIAL;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;1;12:28:58.089;12:28:58.089;10:36.456;636,456;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:33.861;N;203;;1:27.014;N;167;;2:36.674;N;169;;3:52.647;N;190;;;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;J;0;1:24.582;41637       ;12:28:49.629;1p;0;0;0;0;0;0;0;1;1;9:14.291
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;2;12:39:50.689;12:39:50.689;10:52.600;652,600;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;2:36.916;N;198;;1:17.597;N;179;;2:24.285;N;174;;3:38.174;N;191;;55.628;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;A;0;;41637       ;;2;0;0;0;0;0;0;0;1;2;9:14.291
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;3;12:49:15.064;12:49:15.064;9:24.375;564,375;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:16.339;N;203;;1:18.070;N;184;;2:20.991;N;176;;3:33.885;J;198;;55.090;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;3;0;0;0;0;0;0;0;2;1;9:14.291
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;4;12:58:31.475;12:58:31.475;9:16.411;556,411;J;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.535;J;205;;1:14.133;N;187;;2:17.268;N;176;;3:33.902;N;197;;55.573;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;4;0;0;0;0;0;0;0;2;2;9:14.291
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;5;13:07:51.314;13:07:51.314;9:19.839;559,839;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.927;N;204;;1:13.908;N;187;;2:18.503;N;176;;3:36.679;N;199;;54.822;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;5;0;0;0;0;0;0;0;2;3;9:14.291
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;6;13:17:15.492;13:17:15.492;9:24.178;564,178;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.648;N;206;;1:17.009;N;152;;2:17.696;N;177;;3:38.960;N;199;;54.865;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;6;0;0;0;0;0;0;0;2;4;9:14.291
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;7;13:26:49.249;13:26:49.249;9:33.757;573,757;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:16.872;N;207;;1:13.853;J;188;;2:19.557;N;176;;3:48.756;N;198;;54.719;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;7;0;0;0;0;0;0;0;2;5;9:14.291
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;8;13:37:14.817;13:37:14.817;10:25.568;625,568;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.782;N;206;;1:15.917;N;186;;2:17.498;N;177;;4:33.865;N;198;;;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;J;0;2:05.953;41637       ;13:37:06.496;8p;0;0;0;0;0;0;0;2;6;9:14.291
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;9;13:50:09.260;13:50:09.260;12:54.443;774,443;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;3:15.789;N;204;;1:24.415;N;176;;2:22.346;N;174;;4:55.336;N;185;;56.557;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;A;0;;41637       ;;9;0;0;0;0;0;0;0;3;1;9:14.291
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;10;14:00:36.299;14:00:36.299;10:27.039;627,039;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:18.200;N;206;;1:32.735;N;178;;2:21.370;N;175;;4:18.430;N;191;;56.304;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;10;0;0;0;0;0;0;0;3;2;9:14.291
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;11;14:11:05.021;14:11:05.021;10:28.722;628,722;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:17.507;N;206;;1:32.431;N;180;;2:24.434;N;173;;4:18.300;N;193;;56.050;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;11;0;0;0;0;0;0;0;3;3;9:14.291
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;12;14:21:34.901;14:21:34.901;10:29.880;629,880;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:18.611;N;205;;1:17.224;N;181;;2:21.626;N;175;;4:32.671;N;108;;59.748;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;12;0;0;0;0;0;0;0;3;4;9:14.291
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;13;14:32:35.592;14:32:35.592;11:00.691;660,691;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:18.213;N;205;;1:16.289;N;182;;2:24.459;N;175;;4:52.619;N;108;;;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;J;0;1:49.614;41637       ;14:32:26.636;13p;0;0;0;0;0;0;0;3;5;9:14.291
1;Mark;2;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;14;14:45:10.821;14:45:10.821;12:35.229;755,229;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;2:57.429;N;206;;1:15.475;N;178;;2:19.562;N;173;;5:00.336;N;101;;1:02.427;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;A;0;;41637       ;;14;0;0;0;0;0;0;0;4;1;9:14.291
1;Mark;2;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;15;14:56:01.955;14:56:01.955;10:51.134;651,134;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:16.989;N;206;;1:14.782;N;180;;2:17.685;N;176;;4:39.344;N;57;;1:22.334;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;15;0;0;0;0;0;0;0;4;2;9:14.291
1;Mark;2;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;16;15:05:56.499;15:05:56.499;9:54.544;594,544;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:16.231;N;206;;1:14.080;N;184;;2:16.682;N;177;;4:12.650;N;195;;54.901;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;16;0;0;0;0;0;0;0;4;3;9:14.291
1;Mark;2;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;17;15:15:14.971;15:15:14.971;9:18.472;558,472;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:16.508;N;206;;1:14.750;N;184;;2:16.873;N;175;;3:35.010;N;198;;55.331;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;17;0;0;0;0;0;0;0;4;4;9:14.291
1;Mark;2;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Marino;Marvin;Waiblingen;;;DE-39790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;18;15:24:34.245;15:24:34.245;9:19.274;559,274;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:16.493;N;205;;1:14.936;N;174;;2:18.009;N;176;;3:35.000;N;199;;54.836;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:14.291;48;N;0;;41637       ;;18;0;0;0;0;0;0;0;4;5;9:14.291
