INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN;PRO;PROAM;AM;AMG;PRIO;SPEZIAL
0001;8;Vere;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Veremenko;Alexey;Kaltenborn;;;DE-25824;;;'SELV';;Kaltenborn;;;DE-ITC-C-25017;;;Stippler;Frank;Bad Münstereifel;;;DE-18797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;00.000;2;00.000;2;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;JUTA RACING;;Audi R8 LMS GT3;1;1;;;1;;;5;7:51.530;7:51.530;Y;;;;;9:16:54;1855;9:16:54;185.967;;4;0;4;0;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;8:42.106;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;100.00;8:07.202;4;1;18:02.793;3;6:11.335;;;;;2025-PA/50  ;Audi                          ;2;;;2;2;1;0;;0;0;0;0;0;0
0002;36;Krog;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Krognes;Christian;Norwegen;;;NO-IC31791;;;Walkenhorst;Henry;Melle;;;DE-10319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Walkenhorst Motorsport;;Aston Martin Vantage GT3;2;2;+01.767;+01.767;2;+01.767;+01.767;4;7:53.297;7:53.297;Y;01.767;01.767;;;9:10:44;1437;9:10:44;185.272;;4;0;4;0;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;8:42.106;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;100.37 ;7:57.184;8;1;18:04.540;2;7:43.265;;;;;49465       ;Aston Martin                  ;1;;;1;1;1;0;;0;0;0;0;0;0
0003;69;Dörr;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Dörr;Ben;Butzbach;;;DE-24733;;;Dörr;Phil;Butzbach;;;DE-26702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;00.000;4;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Dörr Motorsport;;McLaren 720S GT3 Evo;3;3;+03.112;+01.345;3;+03.112;+01.345;6;7:54.642;7:54.642;Y;03.112;01.345;;;9:17:10;1871;9:17:10;184.747;;4;0;4;0;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;8:42.106;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;100.66 ;8:22.961;4;1;18:35.069;3;8:45.613;;;;;49208       ;McLaren                       ;2;;;0;0;1;0;;0;0;0;0;0;0
0004;45;Jeff;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Jefferies;Axcil;Vereinigte Arabische Emirate;;;ZW-INT. 004/25;;;Neubauer;Thomas;Frankreich;;;FR-Int A - 256479;;;"Fernandez Laser";Felipe;Leipzig;;;DE-Int B - 38385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;00.000;2;00.000;2;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;REALIZE KONDO RACING with Rinaldi;;Ferrari 296 GT3;4;1;;;4;+03.844;+00.732;5;7:55.374;7:55.374;N;03.844;00.732;;;9:17:37;1897;9:17:37;184.463;;13;0;13;0;0;45;7:55.374;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;184.463;8:43.180;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;100.82 ;8:28.544;5;1;17:01.514;1;;;;;;50740       ;Ferrari                       ;3;;;0;2;1;0;;0;0;0;0;0;0
0005;27;Pepp;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Pepper;Jordan;Vereinigtes Königreich;;;ZA-04582;;;Bortolotti;Mirko;Italien;;;IT-219830;;;Engstler;Luca;Kempten;;;DE-12876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;00.000;3;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Red Bull Team ABT;;Lamborghini Huracan GT3;5;2;+00.209;+00.209;5;+04.053;+00.209;5;7:55.583;7:55.583;N;04.053;00.209;;;10:23:41;5131;10:23:41;184.382;;13;0;13;0;0;45;7:55.374;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;184.463;8:43.180;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;100.86 ;7:55.583;4;1;13:46.859;3;33:57.555;;;;;41625       ;Lamborghini                   ;2;;;0;0;1;0;;0;0;0;0;0;0
0006;14;Enge;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Engel;Maro;Monaco;;;DE-11293;;;Martin;Maxime;Belgien;;;BE-901749;;;Stolz;Luca;Brachbach;;;DE-10277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;00.000;1;00.000;1;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team GetSpeed;;Mercedes-AMG GT3;6;3;+00.245;+00.036;6;+04.089;+00.036;5;7:55.619;7:55.619;Y;04.089;00.036;;;10:27:02;5208;10:27:02;184.368;;13;0;13;0;0;45;7:55.374;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;184.463;8:43.180;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;100.87 ;8:08.914;7;1;22:59.829;1;2:25.990;;;;;42478       ;Mercedes-AMG                  ;1;;;0;0;1;0;;0;0;0;0;0;0
0007;17;Aron;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Aron;Ralf;Estland;;;EE-29446;;;Auer;Lucas;Österreich;;;AT-JAC1081;;;Christodoulou;Adam;Vereinigtes Königreich;;;GB-100838;;;Grenier;Mikael;Kanada;;;CA-ITB25-039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;00.000;2;00.000;2;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;Mercedes-AMG Team GetSpeed;;Mercedes-AMG GT3;7;4;+00.693;+00.448;7;+04.537;+00.448;5;7:56.067;7:56.067;N;04.537;00.448;;;10:28:56;5270;10:28:56;184.194;;13;0;13;0;0;45;7:55.374;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;184.463;8:43.180;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;100.96 ;8:00.744;4;1;34:13.213;3;2:58.594;;;;;42478       ;Mercedes-AMG                  ;2;;;0;0;1;0;;0;0;0;0;0;0
0008;98;Farf;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Farfus;Augusto;Monaco;;;BR-004;;;"'Jesse Krohn'";;Finnland;;;FI-22196154;;;Marciello;Raffaele;Schweiz;;;CH-567;;;"Van der Linde";Kelvin;Österreich;;;ZA-03727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;00.000;;00.000;2;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;ROWE RACING;;BMW M4 GT3;8;5;+00.872;+00.179;8;+04.716;+00.179;6;7:56.246;7:56.246;N;04.716;00.179;;;10:28:12;5245;10:28:12;184.125;;13;0;13;0;0;45;7:55.374;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;184.463;8:43.180;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;101.00 ;8:30.122;5;1;18:46.403;3;3:17.843;;;;;38797       ;BMW                           ;1;;;0;1;1;0;;0;0;0;0;0;0
0009;15;Wink;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Winkelhock;Markus;Tschechien;;;DE-11937;;;Ludwig;Luca;Bornheim;;;DE-24928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;00.000;7;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;;Audi R8 LMS GT3 EVO 2;9;6;+00.904;+00.032;9;+04.748;+00.032;9;7:56.278;7:56.278;Y;04.748;00.032;;;9:18:01;1921;9:18:01;184.113;;13;0;13;0;0;45;7:55.374;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;Jefferies/Neubauer Thomas/"Fernandez Laser" Felipe;184.463;8:43.180;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;101.01 ;7:57.230;4;1;22:14.834;3;2:49.576;;;;;46769       ;Audi                          ;2;;;1;1;1;0;;0;0;0;0;0;0
0010;48;Arro;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Arrow;Daan;Niederlande;;;NL-International B 43634;;;Piana;Gabriele;Schweiz;;;IT-386645;;;Bünnagel;Ben;Bonn;;;DE-ITC-C 24761;;;Stursberg;Mike;Wermelskirchen;;;DE-30671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;00.000;1;00.000;2;00.000;2;00.000;;00.000;;00.000;;00.000;;00.000;    ;BLACK FALCON Team EAE;;Porsche 911 GT3 R;10;4;+06.611;+03.499;10;+06.611;+01.863;8;7:58.141;7:58.141;N;06.611;01.863;;;10:29:33;5288;10:29:33;183.395;;4;0;4;0;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;8:42.106;1;46;46;0;8;7:51.530;Veremenko/'SELV' /Stippler Frank;Veremenko/'SELV' /Stippler Frank;185.967;101.40 ;7:58.141;4;2;2:52.877;4;2:58.619;;;;;51399       ;Porsche                       ;1;;;0;0;1;0;;0;0;0;0;0;0
