STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;1;12:09:58.702;12:09:58.702;9:40.792;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;580,792;41637       ;1
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;2;12:19:23.192;12:19:23.192;9:24.490;J;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;564,490;41637       ;1
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;3;12:28:50.257;12:28:50.257;9:27.065;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;567,065;41637       ;1
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;4;12:38:48.964;12:38:48.964;9:58.707;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;598,707;41637       ;1
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;5;12:48:34.707;12:48:34.707;9:45.743;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;585,743;41637       ;1
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;6;12:58:19.641;12:58:19.641;9:44.934;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;584,934;41637       ;1
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;7;13:08:16.928;13:08:16.928;9:57.287;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;597,287;41637       ;1
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;8;13:20:41.267;13:20:41.267;12:24.339;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;744,339;41637       ;3
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;9;13:31:04.630;13:31:04.630;10:23.363;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;623,363;41637       ;3
1;Timi;Timis;Ionuc;Carobbio BG;;;IT-516362;;;Hunt;Will;Vereinigtes Königreich;;;GB-307723;;;Comazzi;Michelangelo;Schweiz;;;CH-ITC-C697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;10;13:40:49.386;13:40:49.386;9:44.756;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;584,756;41637       ;3
